format	fm-lint-telemetry-v1
git_head	77b57f49630325141e01d8ce21c4b9ce85de21f6
content_cksum	1056733305-33
shellcheck_version	0.11.0
analysis_mode	local
jobs	1
root_count	1
direct_lines	2462
direct_bytes	121619
source_directives	9
source_boundary_directives	2
source_followed_directives	0
source_target_count	8
shard_1_weight_bytes	121619
shard_2_weight_bytes	0
wall_seconds	3
worker_wall_sum_seconds	2.93
max_worker_wall_seconds	2.93
user_seconds	2.25
system_seconds	0.37
max_worker_rss_kib	438400
worker_rss_sum_kib	442112
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	4.68/4.88/4.33
load_average_end	4.62/4.86/4.33
aggregate_cpu_percent_start	64.60
aggregate_cpu_percent_end	64.40
result_exit	0
